OBJECTID,CommunityName,DataYear,ResidentsAge16AndOver,ResidentsEmployed,WagesLessThan5k,Wages5k_10k,Wages10k_20k,Wages20k_50k,WagesGreaterThan50k,EmployedInPrivateSector,PercentInPrivateSector,EmployedInStateGovt,PercentInStateGovt,EmployedFemales,EmployedMales,EmployedAge45Plus,EmployedAge50Plus,EmployedIn1stQtr,EmployedIn2ndQtr,EmployedIn3rdQtr,EmployedIn4thQtr,EmployedInAllQtrs,NewHires,LocalLaborMarketInfoURL,TotalWages,UnemploymentInsuranceClaimants,x,y
2547,Juneau and borough,2001,22172,15443,2478,1532,2142,6860,2432,9504,0.6200000048,4055,0.2599999905,7779,7664,5539,3346,13246,13972,13787,13006,11146,5663,,442178847,1893,-134.4066397,58.29983971
2562,"Juneau, City and Borough of",2001,22172,15443,2478,1532,2142,6860,2432,9504,0.6200000048,4055,0.2599999905,7779,7664,5539,3346,13246,13972,13787,13006,11146,5663,,442178847,1893,-134.4066397,58.29983971
2548,Juneau and borough,2002,22414,15451,2434,1443,2093,6884,2598,9174,0.5899999738,4164,0.2700000107,7844,7607,5714,3537,13237,14005,13909,13029,11201,5097,,455430186,1906,-134.4066397,58.29983971
2563,"Juneau, City and Borough of",2002,22414,15451,2434,1443,2093,6884,2598,9174,0.5899999738,4164,0.2700000107,7844,7607,5714,3537,13237,14005,13909,13029,11201,5097,,455430186,1906,-134.4066397,58.29983971
2549,Juneau and borough,2003,22688,15510,2371,1405,2161,6764,2811,9176,0.5899999738,4184,0.2700000107,7803,7707,5963,3785,13379,14062,13775,12943,11220,4901,,469563865,2077,-134.4066397,58.29983971
2564,"Juneau, City and Borough of",2003,22688,15510,2371,1405,2161,6764,2811,9176,0.5899999738,4184,0.2700000107,7803,7707,5963,3785,13379,14062,13775,12943,11220,4901,,469563865,2077,-134.4066397,58.29983971
2550,Juneau and borough,2004,22809,15580,2308,1498,2154,6757,2863,9354,0.6000000238,4081,0.2599999905,7886,7694,6126,3993,13261,14104,13948,13021,11133,5021,,473411197,2072,-134.4066397,58.29983971
2565,"Juneau, City and Borough of",2004,22809,15580,2308,1498,2154,6757,2863,9354,0.6000000238,4081,0.2599999905,7886,7694,6126,3993,13261,14104,13948,13021,11133,5021,,473411197,2072,-134.4066397,58.29983971
