year,species,length_wet_cm,weight_wet_grams,weight_froz_grams,length_frozen_cm,,,,,,,,,,,,,,,,,
2001,Coho,210,105,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,213,106,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,206,98,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,110,11,12,106,,,,,,,,,,,,,,,,,
2001,Pink,128,18,18,125,,,,,,,,,,,,,,,,,
2001,Pink,116,14,13,115,,,,,,,,,,,,,,,,,
2001,Pink,103,9,8,99,,,,,,,,,,,,,,,,,
2001,Pink,129,19,18,126,,,,,,,,,,,,,,,,,
2001,Pink,120,15,14,116,,,,,,,,,,,,,,,,,
2001,Pink,127,21,19,126,,,,,,,,,,,,,,,,,
2001,Pink,120,15,14,115,,,,,,,,,,,,,,,,,
2001,Pink,123,19,18,124,,,,,,,,,,,,,,,,,
2001,Pink,123,18,17,121,,,,,,,,,,,,,,,,,
2001,Pink,121,17,15,119,,,,,,,,,,,,,,,,,
2001,Pink,120,14,15,117,,,,,,,,,,,,,,,,,
2001,Pink,119,15,14,115,,,,,,,,,,,,,,,,,
2001,Pink,143,28,26,138,,,,,,,,,,,,,,,,,
2001,Pink,121,16,14,117,,,,,,,,,,,,,,,,,
2001,Pink,120,14,14,117,,,,,,,,,,,,,,,,,
2001,Pink,101,6,8,105,,,,,,,,,,,,,,,,,
2001,Pink,110,12,12,109,,,,,,,,,,,,,,,,,
2001,Pink,120,14,15,118,,,,,,,,,,,,,,,,,
2001,Pink,127,18,18,125,,,,,,,,,,,,,,,,,
2001,Pink,130,21,18,122,,,,,,,,,,,,,,,,,
2001,Pink,123,17,16,118,,,,,,,,,,,,,,,,,
2001,Pink,114,12,12,110,,,,,,,,,,,,,,,,,
2001,Pink,109,12,11,112,,,,,,,,,,,,,,,,,
2001,Pink,120,16,14,118,,,,,,,,,,,,,,,,,
2001,Pink,115,12,12,114,,,,,,,,,,,,,,,,,
2001,Pink,123,18,16,122,,,,,,,,,,,,,,,,,
2001,Pink,121,16,16,119,,,,,,,,,,,,,,,,,
2001,Pink,122,18,17,122,,,,,,,,,,,,,,,,,
2001,Pink,122,18,16,123,,,,,,,,,,,,,,,,,
2001,Sockeye,589,2590,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,614,2950,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,364,664,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,152,35,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,152,34,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,338,432,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,414,848,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,380,596,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,24,133,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,32,145,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,16,115,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,23,130,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,19,129,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,21,130,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,21,125,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,25,131,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,16,111,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,19,120,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,26,137,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,19,122,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,14,108,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,26,137,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,12,105,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,17,119,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,28,139,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,17,117,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,19,121,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,19,120,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,12,107,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,17,120,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,19,123,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,18,118,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,20,122,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,18,124,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,23,137,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,23,127,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,20,123,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,21,124,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,16,123,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,20,118,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,21,125,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,23,132,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,17,115,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,27,138,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,20,124,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,24,130,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,18,124,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,21,129,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,17,118,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,12,106,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,16,116,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,17,124,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,17,118,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,26,129,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,17,119,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,28,136,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,28,130,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,22,123,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,18,123,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,23,130,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,27,139,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,19,117,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,20,122,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,23,128,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,16,110,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,18,119,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,22,126,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,21,125,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,26,134,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,18,120,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,23,130,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,19,120,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,20,123,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,23,130,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,32,145,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,22,128,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,21,123,,,,,,,,,,,,,,,,,
2001,Chum,130,15,20,128,,,,,,,,,,,,,,,,,
2001,Chum,127,16,20,nd,,,,,,,,,,,,,,,,,
2001,Chum,135,21,24,113,,,,,,,,,,,,,,,,,
2001,Chum,150,32,35,147,,,,,,,,,,,,,,,,,
2001,Chum,121,20,17,117,,,,,,,,,,,,,,,,,
2001,Chum,132,22,22,130,,,,,,,,,,,,,,,,,
2001,Chum,133,27,23,131,,,,,,,,,,,,,,,,,
2001,Chum,129,22,21,130,,,,,,,,,,,,,,,,,
2001,Chum,142,32,30,141,,,,,,,,,,,,,,,,,
2001,Chum,126,23,20,125,,,,,,,,,,,,,,,,,
2001,Chum,122,15,17,122,,,,,,,,,,,,,,,,,
2001,Chum,125,20,20,125,,,,,,,,,,,,,,,,,
2001,Chum,124,25,20,nd,,,,,,,,,,,,,,,,,
2001,Chum,117,12,14,nd,,,,,,,,,,,,,,,,,
2001,Chum,123,17,18,121,,,,,,,,,,,,,,,,,
2001,Chum,137,21,27,135,,,,,,,,,,,,,,,,,
